127.0.0.1 - - [09/May/2023:13:17:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/css/singupcss-hsw/info.css HTTP/1.1" 200 2907
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/css/singupcss-hsw/term.css HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /login.user HTTP/1.1" 200 15796
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/css/mainpageSeo/hf.css HTTP/1.1" 200 16755
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/css/singupcss-hsw/basic.css HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/js/makepage-jin/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/image/logo/JOONGSHIN.svg HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:05 +0900] "GET /static/js/makepage-jin/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "POST /loginOk.user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /listBoardOk.admin HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/css/manager-doeunn/inquiries-list.css HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/js/manager-doeunn/board.js HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/js/manager-doeunn/inquiries-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/js/manager-doeunn/list.js HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/image/icons/board.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/image/icons/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/image/icons/message.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:13 +0900] "GET /static/image/icons/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:13:18:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
